,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
169,,1.4,,0.6,0.05,,,2.2,0.010,0.010,,,,,,,,,,,,,,,,,
170,,1.50,,0.60,0.50,6.00,0.90,,,,,,,,,,,,,,,,,,,,
171,,1.7,,0.6,0.06,,0.4,0.95,0.015,0.015,,,,,,,,,,,,,,,,,
172,,1.6,,0.4,0.05,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
173,,1.5,,0.5,0.07,0.55,0.6,2.7,0.015,0.015,,,,,,,,,,,,,,,,,
174,,1.4,,0.3,0.05,1.1,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
175,,1.0,,0.3,0.07,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
176,,1.3,,0.7,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
177,,16.0,,0.4,0.4,14.0,0.6,1.2,,,0.2,,Rem,,,,,,,,,,,,,,
178,,3.2,,0.3,0.045,21,,70,,,,,2.1,,0.3,,2.7,,,,,,,,,,
179,,6.0,,0.3,0.01,17.0,,bal,,,,,6.0,1.7,,,,,,,,,,,,,
180,,0.41,,0.36,0.030,21.6,9.1,60.8,,,,,4.1,,,,3.4,,,,,,,,,,
181,,0.4,,0.3,0.025,21.0,9.0,rem,,,,,0.40,3.4,,,,,,,,,,,,,
182,,,,4.2,0.75,13.5,,Rem,,,,,5,,,,,3,,,,,,,,,
183,,,,4.5,0.35,22,,Rem,,,,,5,,,2,,1.6,,,,,,,,,
184,,2.45,,0.45,0.1,,,35-37,,,,,Rem,,,,,,,,,,,,,,
185,0.45,1.30,,0.50,0.05,,,1.1,0.015,0.015,,,,,,,,,,,,,,,,,
186,,1.22,,0.48,0.05,,,,0.013,0.009,,,,,,,,,,,,,,,,,
187,,1.3,,0.5,0.08,,,,0.015,0.015,,,,,,,,,,,,,,,,,
188,,1.3,,0.5,0.05,,,,0.015,0.015,,,,,,,,,,,,,,,,,
189,,1.3,,0.5,0.05,,,0.8,0.015,0.015,,,,,,,,,,,,,,,,,
190,,1.15,,0.30,0.06,,,1.41,0.009,0.007,,,,,,,,,,,,,,,,,
191,,1.6,,0.6,0.08,,,0.95,0.015,0.015,,,,,,,,,,,,,,,,,
192,,1.4,,0.5,0.08,,0.38,1.7,0.015,0.015,,,,,,,,,,,,,,,,,
193,,1.70,,0.50,0.08,,,2.0,0.015,0.015,,,,,,,,,,,,,,,,,
194,,1.0,,0.3,0.05,1.1,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
195,,1.3,,0.5,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
196,,1.25,,0.5,0.05,,0.5,,0.015,0.015,,,,,,,,,,,,,,,,,
197,0.60,1.40,,0.60,0.025,25.9,3.80,9.00,0.015,0.008,,0.24,,,,0.60,,,,,,,,,,,
198,0.05-0.20,0.05,,0.95,,,,,,,0.1,,0.95,,,,,,99.0-99.95,,,,,,,,
199,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
200,,,,,,,,,,,,,,,0.15,,,,Bal.,,,,,,,,
201,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
202,6.2,0.3,,0.15,,,,,,,0.1,,,,0.17,,,,Rem,,0.2,0.14,,,,,
203,,0.5,,0.4,0.1,22,2,57,,,,,3,0.5,0.1,14,,,0.3,5,,0.015,,,,,
204,0.3-1.2,2,,0.5,0.015,31-35,0.5-2.0,30-33,0.02,0.010,,0.35-0.6,Rem,,,,,,,,,,,,,,
205,0.5,1.0,,1.0,0.005-0.08,23.5-25.5,2.0,Rem,,,,,3.0,0.5-2.5,0.5-2.5,,,0.0006-0.006,0.2-2.0,15-22,,,,,,,
206,0.5,1.0,,1.0,0.005-0.08,23.5-25.5,2.0,Rem,,,,,3.0,0.5-2.5,0.5-2.5,,,0.0006-0.006,0.2-2.0,15-22,,,,,,,
207,1.5-2.8,1.0,, 0.4, 0.05,19.5-23.5,2.5-3.5,38-46,,,,,22,,0.6-1.2,,,,0.2,,,,,,,,
208,1.5-2.8,1.0,, 0.4, 0.05,19.5-23.5,2.5-3.5,38-46,,,,,22,,0.6-1.2,,,,0.2,,,,,,,,
209,0.20,3.0,,0.10,0.01,1.3-3.0,27.0-32.0,bal.,0.03,0.01,0.20,,1.0-3.0,,0.20,3.0,0.20,,0.50,3.0,,,,,,,
210,1.6,,,0.08*,0.01*,23,16,Rest,,,,,,,,,,,,,,,,,,,
211,,0.4,,0.1,0.01,16,16,Rem,,,0.2,,6,,,3.5,,,,1,,,,,,,
212,,0.4,,0.1,0.01,16,16,Rem,,,0.2,,6,,,3.5,,,,1,,,,,,,
213,,1,,1,0.10,22,9,Bal.,,,,,18,,,0.6,,0.008,,1.5,,,,,,,
214,0.1,0.5,,0.4,,0.3,,,,,,,0.4,,0.15,,,,Rem,,0.2,,2.6-3.6,,,,
215,0.1,0.5,,0.4,,0.3,,,,,,,0.4,,0.15,,,,Rem,,0.2,,2.6-3.6,,,,
216,,0.70-1.10,,,,0.05-0.25,,,,,,,,,0.15,,,,rem.,,,0.10-0.20,4.5-5.2,,,,
217,0.1,0.5-1.0,,0.2,,0.05-0.25,,,,,,,0.4,,0.15,,,,rest,,0.25,,4.3-5.2,0.0005,,,
218,0.1,0.5-1.0,,0.4,,0.05-0.25,,,,,,,0.4,,0.15,,,,rest,,0.25,,4.3-5.2,0.0008,,,
219,0.1,0.05-2,,0.2,,0.05-0.2,,,,,,,0.4,,0.06-0.12,,,,rest,,0.1,,4.5-5.5,0.0008,,,
220,0.1,0.6-1.0,,0.25,,0.05-0.2,,,,,,,0.4,,0.05-0.20,,,,rest,,0.2,,5.0-5.5,0.0005,,,
221,0.30,0.15,,11-13,,,,,,,,,0.6,,0.15,,,,rem,,0.20,,0.1,0.0006,,,
222,0.30,0.15,,11-13,,,,,,,,,0.6,,0.15,,,,rem,,0.20,,0.1,0.0006,,,
223,0.30,0.15,,11-13,,,,,,,,,0.6,,0.15,,,,rem,,0.20,,0.1,0.0006,,,
224,0.30,0.15,,11-13,,,,,,,,,0.6,,0.15,,,,rem,,0.20,,0.1,0.0006,,,
225,0.5,0.5,0.15,4.5-5.5,,,,,,,,,0.4,,0.15,,,,rem,,0.10,,0.5,0.0008,,,
226,0.5,0.5,0.15,4.5-6.0,,,,,,,,,0.4,,0.15,,,,rem,,0.10,,0.5,0.0005,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,0.75,,0.60,0.075,,,,0.025,0.025,,,,,,,,,,,,,,,,,
229,,0.45,,0.20,0.05,,,,0.025,0.025,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,2.4,0.4,10,,Bal,,,,,2.8,,,,,2.1,,,,,,,,,
233,,,,4.25,0.7,14,,Bal,,,,,4.0,,,,,3.0,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,0.8,,,,27.50,,8.0,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,0.03,18-20,2.5-3.5,9-11,,,,,Rest,,,,,,,,,,,,,,
238,,,,,,,,,,0-15,,,0-10,,,,,,0-50,,0-20,,,,0-25,,
239,,0.04-0.10,0.5,,,,,,0.008-0.020,,,,,,,,,,,,,,,,0.80-1.00,,
240,,0.04-0.10,0.5,,,,,,0.008-0.020,,,,,,,,,,,,,,,,0.80-1.00,,
241,,0.05-0.12,0.5,,,,,,0.025-0.050,,,,,,,,,,,,,,,,0.80-1.00,,
242,bal,0.10-0.30,0.5,,,,,0.10-0.50,,,,,,,,,,,7.50-8.0,,,,,,,,
243,bal,0.1-0.5,0.5,,,,,1.6-2.0,,,,,,,,,,,4.5-5.0,,,,,,,,
244,bal,2.0,,,,,,2.0,,,,,2.0,,,,,,8.0,,,,,,,,
245,bal,2.0,,,,,,2.0,,,,,2.0,,,,,,8.0,,,,,,,,
246,Rem,1.5,,,,,,4.50,,,,,3.20,,,,,,8.0,,,,,,,,
247,Rem,1.5,,,,,,4.50,,,,,3.20,,,,,,8.0,,,,,,,,
248,bal,1.0,,,,,,,,,,,1.0-1.3,,,,,,9.0-9.5,,,,,,,,
249,0.30-0.50,0.4-1.0,,Rem,,,,9.0-12.0,,,,,0.50-1.50,,,,,,,,,,,,,,
250,,0.4-1.0,,Rem,,,,9.0-12.0,,,,,0.50-1.50,,,,,,,,,,,,,,
251,48.0,,,0.20,,,,10,,,,,,,,,,,,,41.8,,,,,,
252,48.0,,,0.20,,,,10,,,,,,,,,,,,,41.8,,,,,,
253,rem,1.0,,0.25,0.04,,,29.0-32.0,,,,,0.40-0.70,,0.20-0.50,,,,,,,,,,,,
254,rem,1.0,,0.25,0.04,,,29.0-32.0,,,,,0.40-0.70,,0.20-0.50,,,,,,,,,,,,
255,Rem,0.28,,,,,,8.2-10.5,,,,,0.28,,,,,,,,0.10,,,,,1.8-2.8,
256,balance,,,,,,,,0.05-0.07,,,,,,,,,,,,,,,,,,
257,bal,0.75-0.95,0.50,2.80-2.95,,,,,,,,,,,,,,,,,,,,,,,
258,bal,0.75-0.95,0.50,2.80-2.95,,,,,,,,,,,,,,,,,,,,,,,
259,bal,0.1-0.4,,0.1-0.4,,,,,0.015,,,,,,,,,,,,,,,,,0.1,
260,rem,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,0.8,
261,rem,,,,,,,,0.20,,,,,,,,,,,,,,,,,12.5,
262,rem,,,,,,,,0.20,,,,,,,,,,,,,,,,,12.5,
263,rem,,,,,,,,0.20,,,,,,,,,,,,,,,,,6.3,
264,rem,,,,,,,,0.20,,,,,,,,,,,,,,,,,6.3,
